Customer ID,Age,Gender,Employment (Years),Accidents (Last 5 Years),Vehicle Age (Years),Vehicle Type,ICE or EV,Annual Mileage,Location,New factor,New factor.1,New factor.2,New factor.3,claim-cost,claim-date,policy-age
1,24,Male,2,1,5,Sedan,ICE,12000,Urban,,,,,38280,2020-08-07,4
2,45,Female,20,0,2,SUV,EV,8000,Suburban,,,,,186759,2021-11-28,12
3,30,Male,10,2,10,Sports Car,EV,15000,Urban,,,,,606411,2018-05-23,12
4,60,Female,40,0,8,Sedan,EV,5000,Rural,,,,,781304,2023-06-07,4
5,35,Male,15,0,3,SUV,EV,10000,Urban,,,,,2454,2022-11-09,8
6,50,Female,30,1,1,Sedan,EV,7500,Suburban,,,,,619779,2023-01-12,3
7,22,Male,1,2,12,Sports Car,EV,20000,Urban,,,,,653489,2017-02-13,11
8,40,Female,18,0,4,SUV,ICE,9000,Rural,,,,,360336,2023-10-19,4
9,29,Male,5,1,6,Sedan,EV,14000,Suburban,,,,,513029,2022-09-24,12
10,55,Female,35,0,2,Sedan,EV,6000,Urban,,,,,605036,2016-12-05,8
11,28,Female,4,0,5,SUV,ICE,9730,Urban,,,,,783970,2017-11-22,3
12,18,Female,2,0,12,Sports Car,ICE,20557,Suburban,,,,,414505,2018-10-20,11
13,20,Male,1,2,9,SUV,EV,10314,Rural,,,,,935693,2019-10-14,11
14,45,Male,25,0,5,Sedan,EV,22730,Urban,,,,,668501,2018-03-28,12
15,18,Female,1,0,14,Sports Car,EV,7278,Rural,,,,,455803,2018-04-28,11
16,37,Male,17,2,3,Sports Car,EV,16545,Rural,,,,,735899,2015-09-04,11
17,35,Female,18,0,3,SUV,ICE,9012,Urban,,,,,198250,2022-10-11,6
18,23,Female,3,1,12,SUV,EV,15823,Suburban,,,,,279675,2015-11-12,10
19,19,Female,1,0,14,Sedan,EV,5057,Rural,,,,,878860,2023-02-08,3
20,24,Male,1,1,8,SUV,ICE,14918,Suburban,,,,,713694,2020-07-26,11
21,22,Female,2,1,2,Sedan,ICE,13269,Suburban,,,,,611198,2021-09-28,1
22,19,Male,1,0,15,Sports Car,EV,15293,Urban,,,,,667822,2018-03-18,3
23,52,Male,28,0,4,Sports Car,EV,5837,Urban,,,,,288098,2017-01-22,9
24,46,Male,26,2,2,Sedan,EV,19936,Rural,,,,,875555,2018-08-29,9
25,47,Male,25,0,6,SUV,EV,20430,Suburban,,,,,272798,2019-06-17,9
26,52,Male,35,1,8,SUV,EV,21945,Urban,,,,,826985,2022-09-01,2
27,57,Male,34,2,1,Sedan,EV,10843,Rural,,,,,122029,2015-09-16,2
28,48,Female,28,2,3,Sedan,EV,7980,Rural,,,,,229662,2016-06-01,3
29,31,Male,10,0,3,Sedan,EV,20390,Suburban,,,,,265227,2016-04-08,1
